Path accepted
                                                    ERRORS/ANOMALIES                                                    

Error/Anomalies:        User Story             Description:                                  Location
ERROR                      US15            Family has 15 or more siblings                        @F3@                                              
ERROR                      US16            Lastname not the same as father                       @I5@                                              
ERROR                      US16            Lastname not the same as father                       @I38@                                             
ERROR                      US16            Lastname not the same as father                       @I4@                                              
ERROR                      US16            Lastname not the same as father                       @I27@                                             
ERROR                      US16            Lastname not the same as father                       @I34@                                             
ERROR                      US18            Sibling is married to another sibling                 @I27@,@I26@                                       
ANOMALY                    US21            Wife is not a female                                  @I3@,@F2@                                         
ERROR                      US23            Two individuals share a name and birthdate            @I1@,@I1@                                         
ERROR                      US23            Two individuals share a name and birthdate            @I2@,@I2@                                         
ERROR                      US23            Two individuals share a name and birthdate            @I3@,@I3@                                         
ERROR                      US23            Two individuals share a name and birthdate            @I4@,@I4@                                         
ERROR                      US23            Two individuals share a name and birthdate            @I5@,@I5@                                         
ERROR                      US23            Two individuals share a name and birthdate            @I6@,@I6@                                         
ERROR                      US23            Two individuals share a name and birthdate            @I7@,@I7@                                         
ERROR                      US23            Two individuals share a name and birthdate            @I8@,@I8@                                         
ERROR                      US23            Two individuals share a name and birthdate            @I9@,@I9@                                         
ERROR                      US23            Two individuals share a name and birthdate            @I10@,@I10@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I11@,@I11@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I12@,@I12@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I13@,@I13@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I14@,@I14@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I15@,@I15@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I16@,@I16@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I17@,@I17@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I18@,@I18@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I19@,@I19@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I20@,@I20@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I21@,@I21@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I22@,@I22@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I23@,@I23@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I24@,@I24@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I25@,@I25@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I26@,@I26@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I27@,@I27@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I28@,@I28@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I29@,@I29@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I30@,@I30@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I31@,@I31@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I32@,@I32@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I33@,@I33@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I34@,@I34@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I35@,@I35@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I36@,@I36@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I37@,@I37@                                       
ERROR                      US23            Two individuals share a name and birthdate            @I38@,@I38@                                       
INFORMATION                US29            Deceased individuals                                  @I1@                                              
INFORMATION                US29            Deceased individuals                                  @I2@                                              
INFORMATION                US29            Deceased individuals                                  @I3@                                              
INFORMATION                US29            Deceased individuals                                  @I4@                                              
INFORMATION                US29            Deceased individuals                                  @I10@                                             
INFORMATION                US30            Both Husband and Wife are not dead                    @F3@                                              
INFORMATION                US30            Both Husband and Wife are not dead                    @F4@                                              
INFORMATION                US30            Both Husband and Wife are not dead                    @F5@                                              
INFORMATION                US30            Both Husband and Wife are not dead                    @F6@                                              
INFORMATION                US30            Both Husband and Wife are not dead                    @F9@                                              
INFORMATION                US30            Both Husband and Wife are not dead                    @F10@                                             
INFORMATION                US30            Both Husband and Wife are not dead                    @F11@                                             
INFORMATION                US30            Both Husband and Wife are not dead                    @F12@                                             
INFORMATION                US31            Single and over thirty                                @I4@                                              
INFORMATION                US31            Single and over thirty                                @I25@                                             
INFORMATION                US31            Single and over thirty                                @I28@                                             
INFORMATION                US31            Single and over thirty                                @I29@                                             
INFORMATION                US31            Single and over thirty                                @I30@                                             
ANAMOLY                    US32            Multiple Birth in Family                              @F3@                                              
INFORMATION                US33            Orphan Children                                       @F1@,@I38@                                        
INFORMATION                US35            Born in the last 30 days:                             @I10@                                             
INFORMATION                US35            Born in the last 30 days:                             @I15@                                             
INFORMATION                US36            Died in the last 30 days:                             @I2@                                              
INFORMATION                US37            Living Spouses                                        @I2@,@I1@                                         
INFORMATION                US38            Birthday is coming in next 30 days                    @I1@                                              
INFORMATION                US38            Birthday is coming in next 30 days                    @I2@                                              
INFORMATION                US38            Birthday is coming in next 30 days                    @I3@                                              
INFORMATION                US38            Birthday is coming in next 30 days                    @I4@                                              
INFORMATION                US38            Birthday is coming in next 30 days                    @I5@                                              
INFORMATION                US38            Birthday is coming in next 30 days                    @I6@                                              
INFORMATION                US38            Birthday is coming in next 30 days                    @I7@                                              
INFORMATION                US38            Birthday is coming in next 30 days                    @I8@                                              
INFORMATION                US38            Birthday is coming in next 30 days                    @I9@                                              
INFORMATION                US38            Birthday is coming in next 30 days                    @I11@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I12@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I13@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I14@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I16@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I17@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I18@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I19@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I20@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I21@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I22@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I23@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I24@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I25@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I26@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I27@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I28@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I29@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I30@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I31@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I32@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I33@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I34@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I35@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I36@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I37@                                             
INFORMATION                US38            Birthday is coming in next 30 days                    @I38@                                             
INFORMATION                US39            Anniversary is coming in next 30 days                 @F1@                                              
INFORMATION                US39            Anniversary is coming in next 30 days                 @F2@                                              
INFORMATION                US39            Anniversary is coming in next 30 days                 @F3@                                              
INFORMATION                US39            Anniversary is coming in next 30 days                 @F4@                                              
INFORMATION                US39            Anniversary is coming in next 30 days                 @F7@                                              
INFORMATION                US39            Anniversary is coming in next 30 days                 @F8@                                              
INFORMATION                US39            Anniversary is coming in next 30 days                 @F9@                                              
INFORMATION                US39            Anniversary is coming in next 30 days                 @F10@                                             
INFORMATION                US39            Anniversary is coming in next 30 days                 @F11@                                             


+-----------+-------+------------------+-------+------------+------------+------------+------------------------------+
|     id    |  Name |     Birthday     |  Sex  | Death Date |   Alive    |   Child    |            Spouse            |
+-----------+-------+------------------+-------+------------+------------+------------+------------------------------+
|     []    |  @I1@ | ['@F1@', '@F2@'] | False |     M      | 1936-01-08 | 1977-08-16 |    ['Edina', '/Schulz/']     |
|     []    |  @I2@ |     ['@F1@']     | False |     F      | 1891-05-08 | 2017-04-03 |   ['Ross', '/Rothschild/']   |
|     []    |  @I3@ |     ['@F2@']     | False |     M      | 1935-05-18 | 1933-12-02 | ['Charles', '/Bettencourt/'] |
|  ['@F2@'] |  @I4@ |        []        | False |     M      | 1915-07-06 | 1947-04-01 |  ['Henry', '/Bettencourt/']  |
|  ['@F1@'] |  @I5@ |     ['@F3@']     |  True |     M      | 1938-08-15 |    None    |  ['Edward', '/Rothschild/']  |
|     []    |  @I6@ | ['@F3@', '@F4@'] |  True |     F      | 1938-04-30 |    None    |    ['Victoria', '/Koch/']    |
|  ['@F1@'] |  @I7@ |     ['@F5@']     |  True |     F      | 1940-04-06 |    None    |   ['Emma', '/Rothschild/']   |
|  ['@F3@'] |  @I8@ |     ['@F6@']     |  True |     F      | 1977-11-28 |    None    | ['Margaret', '/Rothschild/'] |
|     []    |  @I9@ |     ['@F6@']     |  True |     M      | 1777-02-01 |    None    |   ['Duncan', '/Thomson/']    |
|  ['@F3@'] | @I10@ | ['@F7@', '@F8@'] | False |     M      | 2018-09-10 | 2000-12-02 |   ['John', '/Rothschild/']   |
|     []    | @I11@ |     ['@F7@']     |  True |     F      | 1986-07-05 |    None    |     ['Kat', '/Botham/']      |
|  ['@F3@'] | @I12@ |     ['@F9@']     |  True |     M      | 1981-06-30 |    None    | ['Richard', '/Rothschild/']  |
|     []    | @I13@ |     ['@F9@']     |  True |     F      | 1978-06-24 |    None    |   ['Abigail', '/Jhonson/']   |
|     []    | @I14@ |     ['@F5@']     |  True |     M      | 1934-12-01 |    None    |    ['Harold', '/Walton/']    |
|     []    | @I15@ |     ['@F4@']     |  True |     M      | 2019-04-24 |    None    |   ['William', '/Powell/']    |
|  ['@F4@'] | @I16@ |    ['@F10@']     |  True |     M      | 1966-09-02 |    None    |    ['Edgar', '/Powell/']     |
|     []    | @I17@ |    ['@F10@']     |  True |     F      | 2004-05-17 |    None    |     ['Mary', '/Cornel/']     |
| ['@F10@'] | @I18@ |        []        |  True |     M      | 1989-01-30 |    None    |    ['Louis', '/Powell/']     |
|  ['@F6@'] | @I19@ |        []        |  True |     M      | 2005-11-24 |    None    |   ['Donald', '/Thomson/']    |
|     []    | @I20@ |     ['@F8@']     |  True |     F      | 1980-03-03 |    None    |    ['Emilia', '/Stone/']     |
|  ['@F9@'] | @I21@ |        []        |  True |     M      | 2010-10-07 |    None    |   ['Ned', '/Rothschild/']    |
|  ['@F7@'] | @I22@ |        []        |  True |     F      | 2015-12-30 |    None    |   ['Jane', '/Rothschild/']   |
|  ['@F8@'] | @I23@ |    ['@F11@']     |  True |     M      | 2007-02-28 |    None    | ['Phillip', '/Rothschild/']  |
|     []    | @I24@ |    ['@F11@']     |  True |     F      | 2001-06-11 |    None    | ['Emilia', '/New', 'Name/']  |
|  ['@F3@'] | @I25@ |        []        |  True |     F      | 1982-03-07 |    None    |  ['Amily', '/Rothschild/']   |
|  ['@F3@'] | @I26@ |    ['@F12@']     |  True |     F      | 1982-03-07 |    None    |  ['Donna', '/Rothschild/']   |
|  ['@F3@'] | @I27@ |    ['@F12@']     |  True |     M      | 1982-03-07 |    None    |   ['Harvey', '/Specter/']    |
|  ['@F3@'] | @I28@ |        []        |  True |     M      | 1982-03-07 |    None    |   ['Mike', '/Rothschild/']   |
|  ['@F3@'] | @I29@ |        []        |  True |     F      | 1982-03-07 |    None    |  ['Rachel', '/Rothschild/']  |
|  ['@F3@'] | @I30@ |        []        |  True |     M      | 1982-03-07 |    None    |   ['Luis', '/Rothschild/']   |
|  ['@F3@'] | @I31@ |        []        |  True |     F      | 1988-02-01 |    None    | ['Katrina', '/Rothschild/']  |
|  ['@F3@'] | @I32@ |        []        |  True |     F      | 1990-04-03 |    None    | ['Jessica', '/Rothschild/']  |
|  ['@F3@'] | @I33@ |        []        |  True |     M      | 1991-02-05 |    None    |  ['Daniel', '/Rothschild/']  |
|  ['@F3@'] | @I34@ |        []        |  True |     M      | 1992-04-12 |    None    |      ['Darby', '/Ron/']      |
|  ['@F3@'] | @I35@ |        []        |  True |     F      | 1992-03-05 |    None    |   ['Tess', '/Rothschild/']   |
|     []    | @I36@ |        []        |  True |     M      | 1993-09-05 |    None    |  ['Harold', '/Rothschild/']  |
|  ['@F3@'] | @I37@ |        []        |  True |     F      | 1993-03-04 |    None    |   ['Ava', '/Rothschild/']    |
|  ['@F1@'] | @I38@ |        []        |  True |     M      | 2008-07-09 |    None    |  ['James', '/Rothschild/']   |
+-----------+-------+------------------+-------+------------+------------+------------+------------------------------+
----------------------------------------------------------------------------------------------------------------------------------------
+-------+----------+------------+--------------+-------+-----------------------------+----------------------------------------------------------------------------------------------------------------------------------------+------------------------------+
|  Fid  | Marriage |  Husband   | Husband Name |  Wife |          Wife Name          |                                                                Children                                                                |           Divorce            |
+-------+----------+------------+--------------+-------+-----------------------------+----------------------------------------------------------------------------------------------------------------------------------------+------------------------------+
|  @F1@ |   @I2@   |    None    |  1935-08-15  |  @I1@ |    ['Edina', '/Schulz/']    |                                                       ['@I5@', '@I7@', '@I38@']                                                        |   ['Ross', '/Rothschild/']   |
|  @F2@ |   @I3@   |    None    |  1913-01-01  |  @I1@ |    ['Edina', '/Schulz/']    |                                                                ['@I4@']                                                                | ['Charles', '/Bettencourt/'] |
|  @F3@ |   @I6@   |    None    |  1976-09-17  |  @I5@ |  ['Edward', '/Rothschild/'] | ['@I8@', '@I10@', '@I12@', '@I25@', '@I26@', '@I27@', '@I28@', '@I29@', '@I30@', '@I31@', '@I32@', '@I33@', '@I34@', '@I35@', '@I37@'] |    ['Victoria', '/Koch/']    |
|  @F4@ |   @I6@   |    None    |  1964-03-07  | @I15@ |   ['William', '/Powell/']   |                                                               ['@I16@']                                                                |    ['Victoria', '/Koch/']    |
|  @F5@ |   @I7@   |    None    |     None     | @I14@ |    ['Harold', '/Walton/']   |                                                                   []                                                                   |   ['Emma', '/Rothschild/']   |
|  @F6@ |   @I8@   |    None    |     None     |  @I9@ |   ['Duncan', '/Thomson/']   |                                                               ['@I19@']                                                                | ['Margaret', '/Rothschild/'] |
|  @F7@ |  @I11@   |    None    |  2014-04-12  | @I10@ |   ['John', '/Rothschild/']  |                                                               ['@I22@']                                                                |     ['Kat', '/Botham/']      |
|  @F8@ |  @I20@   | 2013-12-04 |  2014-02-02  | @I10@ |   ['John', '/Rothschild/']  |                                                               ['@I23@']                                                                |    ['Emilia', '/Stone/']     |
|  @F9@ |  @I13@   |    None    |  2006-08-15  | @I12@ | ['Richard', '/Rothschild/'] |                                                               ['@I21@']                                                                |   ['Abigail', '/Jhonson/']   |
| @F10@ |  @I17@   |    None    |  1987-04-17  | @I16@ |    ['Edgar', '/Powell/']    |                                                               ['@I18@']                                                                |     ['Mary', '/Cornel/']     |
| @F11@ |  @I24@   |    None    |  2014-04-06  | @I23@ | ['Phillip', '/Rothschild/'] |                                                                   []                                                                   | ['Emilia', '/New', 'Name/']  |
| @F12@ |  @I26@   |    None    |     None     | @I27@ |   ['Harvey', '/Specter/']   |                                                                   []                                                                   |  ['Donna', '/Rothschild/']   |
+-------+----------+------------+--------------+-------+-----------------------------+----------------------------------------------------------------------------------------------------------------------------------------+------------------------------+
